Component,Quantity,Description,Approx. Cost,Total Approx. Cost (INR),Approx. Cost (USD),Link
"2.4-inch SPI Interface 240×320 
TFT Display Module",1,"2.4-inch TFT Display Module (240x320, SPI)",479,479,5.45,https://robu.in/product/2-4-inch-spi-interface-240x320-touch-screen-tft-display-module/
Micro SD Card Reader Module,1,Micro SD Card Reader Module,39,39,0.44,https://robu.in/product/micro-sd-card-module/
PAM8403 with a potentiometer,1,"PAM8403 Mini 5V Digital Amplifie
r Board With Switch Potentiometer",78,78,0.89,https://robu.in/product/pam8403-mini-5v-digital-amplifier-board-switch-potentiometer/
"GSPK2805TN-8R0.5W-INGHAI-8ohm
 0.5W Speakers ROHS",2,0.5W 8-Ohm Speaker,76,152,1.73,https://robu.in/product/gspk2805tn-8r0-5w-inghai-8ohm-0-5w-speakers-rohs/
2.54mm 1×40 Pin Female,2,2.54mm 1×40 Pin Female Single Row Header Strip,7,14,0.16,https://robu.in/product/2-54mm-1x40-pin-female-single-row-header-strip-pack-of-10/?gad_source=1&gad_campaignid=17427802703&gbraid=0AAAAADvLFWewpM_Ac7AnRWjoF_Cw6w-RE&gclid=CjwKCAjwgeLHBhBuEiwAL5gNEciiGQLrGrXqPWGmiXYgWMtM4mKjiamB957T31CHqN9rx0-aLaN39hoCO50QAvD_BwE
ESP32 Development Board,1,Main microcontroller with built-in Bluetooth and Wi-Fi used for wireless mouse control,343,343,3.9,https://robocraze.com/products/esp32-development-board?_pos=1&_psq=esp32&_ss=e&_v=1.0
Push Button with Cap set of 5,2,Tactile 4 Pin Push Button Switch - Pack of 5,59,118,1.34,https://robocraze.com/products/tactile-4-pin-push-button-switch-pack-of-5-6x6x6-mm?variant=43130376585440&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&utm_source=google&utm_medium=cpc&utm_campaign=BL+%7C+Pmax+%7C+Feed+Only+%7C+RoboCraze+%7C+Electronic+Components+%7C+31%2F05&utm_source=googleads&utm_medium=ppc&utm_campaign=21337209786&utm_content=_&utm_term=&campaignid=21337209786&adgroupid=&campaign=21337209786&gad_source=1&gad_campaignid=21343423652&gbraid=0AAAAADgHQvagGYEukdINsWVdKZcj_qI7R&gclid=CjwKCAjwgeLHBhBuEiwAL5gNEVJXB7kecoA4xUBh32htrYOkoleT2FYyxw4F3yFVvMjAvP_hWe0NtxoCIq8QAvD_BwE
PCB+shipping,5,,2000,2000,22.74,https://jlcpcb.com/

,,,,Total,36.65,

